DEPTH,AC,SP,GR,RT
571.85,370.898,110.423,75.905,1.586
571.975,369.882,110.448,76.973,1.571
572.1,377.057,110.401,78.192,1.554
572.225,389.26,110.273,79.739,1.535
572.35,401.625,110.056,82.076,1.517
572.475,409.545,109.775,84.89,1.5
572.6,412.924,109.455,87.264,1.486
572.725,413.492,109.137,88.371,1.478
572.85,412.677,108.874,87.939,1.481
572.975,409.608,108.684,86.935,1.497
573.1,402.993,108.58,86.021,1.534
573.225,392.844,108.571,85.198,1.597
573.35,381.384,108.679,83.884,1.703
573.475,371.657,108.88,81.809,1.859
573.6,363.371,109.154,79.283,2.069
573.725,354.014,109.468,76.837,2.34
573.85,341.59,109.768,75.166,2.725
573.975,326.683,110.022,74.619,3.244
574.1,312.217,110.227,75.119,3.932
574.225,298.969,110.391,76.18,4.766
574.35,285.432,110.527,76.93,5.777
574.475,270.287,110.646,76.61,6.812
574.6,257.361,110.743,74.951,7.644
574.725,253.002,110.81,72.093,8.023
574.85,262.075,110.849,68.86,7.703
574.975,283.632,110.872,66.705,6.955
575.1,307.37,110.869,66.585,6.061
575.225,326.621,110.821,68.527,5.234
575.35,339.761,110.685,71.259,4.62
575.475,349.954,110.445,73.091,4.176
575.6,360.73,110.088,73.632,3.867
575.725,370.69,109.623,73.65,3.657
575.85,375.873,109.066,74.671,3.518
575.975,373.291,108.48,76.702,3.41
576.1,366.735,107.921,78.498,3.372
576.225,361.116,107.446,78.979,3.368
576.35,360.126,107.124,77.997,3.396
576.475,364.345,106.959,77.468,3.442
576.6,370.133,106.952,79.641,3.519
576.725,374.197,107.118,85.665,3.568
576.85,373.961,107.506,95.01,3.585
576.975,368.407,108.053,104.909,3.582
577.1,360.019,108.682,113.928,3.571
577.225,352.175,109.302,121.887,3.576
577.35,348.351,109.823,129.731,3.63
577.475,350.016,110.232,138.996,3.746
577.6,354.701,110.534,151.008,3.935
577.725,359.546,110.708,166.98,4.202
577.85,362.582,110.679,188.378,4.552
577.975,363.575,110.46,215.51,4.967
578.1,363.437,110.077,253.487,5.438
578.225,362.438,109.587,311.224,5.952
578.35,360.461,109.059,359.99,6.477
578.475,357.891,108.561,360,6.964
578.6,356.064,108.119,360,7.379
578.725,356.347,107.734,360,7.665
578.85,359.191,107.403,360,7.749
578.975,363.124,107.112,360,7.678
579.1,365.703,106.871,360,7.506
579.225,365.943,106.69,328.307,7.302
579.35,365.352,106.567,305.725,7.134
579.475,367.065,106.455,285.51,7.043
579.6,373.125,106.315,265.13,7.048
579.725,383.086,106.123,246.608,7.154
579.85,394.321,105.877,229.929,7.382
579.975,403.85,105.599,210.613,7.71
580.1,410.181,105.289,185.815,8.122
580.225,413.24,104.932,156.968,8.603
580.35,413.232,104.513,129.95,9.117
580.475,410.484,104.067,109.386,9.585
580.6,405.051,103.644,96.179,9.913
580.725,396.748,103.296,88.348,10.006
580.85,385.621,103.075,83.122,9.742
580.975,372.91,102.961,78.859,9.186
581.1,360.394,102.942,76.277,8.45
