num,start,end
1101,571.91,575.43
1102,575.43,579.57
1103,579.57,583.45
1105,589.22,594.74
1107,596.62,601.52
1108,601.52,605.65
1109,605.65,609.54
1110,609.54,617.2
1111,617.2,620.46
1112,620.46,622.84
1113,622.84,628.23
1114,628.23,630.49
1115,630.49,639.02
1201,639.02,642.03
1202,642.03,643.66
1205,648.68,652.94
1206,652.94,657.21
1209,662.6,666.49
1211,669.5,672.38
1212,672.38,676.27
1213,676.27,679.66
1214,679.66,682.54
1215,682.54,684.43
1218,690.57,692.96
1219,692.96,696.59
1220,696.59,698.85
1221,698.85,703.24
1222,703.24,708.38
1224,710.01,716.79
1302,723.31,729.71
1302,723.31,729.71
1303,729.71,734.47
1304,734.47,739.37
1305,739.37,744.63
1307,746.89,753.16
1307,746.89,753.16
1308,753.16,760.31
1308,753.16,760.31
1309,760.31,764.08
1310,764.08,769.47
1312,771.35,777.62
1312,771.35,777.62
1313,777.62,782.77
1402,785.9,793.68
1404,796.44,798.82
1405,798.82,806.22
1405,798.82,806.22
1406,806.22,812.24
1407,812.24,815.88
1408,815.88,819.52
1409,819.52,823.28
1412,833.19,837.45
1413,837.45,840.59
1414,840.59,844.98
1415,844.98,851.88
